measure,sctn_increment,call_num,col_num,shelf_num,section_num,range_num,runsum,col_num2,shelf_per_section,section_per_range,way,units_into,pretty_waypoint
24.0,x,Q1 .H68 1975,1,1,1,1,24.0,01,1,1,1,24.0,The last book from this shelf goes 24.0 in/cm into shelf 1
21.0,,,1,2,1,1,45.0,01,2,1,2,18.9332515825833,The last book from this shelf goes 18.9 in/cm into shelf 2
25.0,,,1,3,1,1,70.0,01,3,1,3,17.8665031651666,The last book from this shelf goes 17.9 in/cm into shelf 3
27.0,,,1,4,1,1,97.0,01,4,1,4,18.7997547477499,The last book from this shelf goes 18.8 in/cm into shelf 4
8.0,,,1,5,1,1,105.0,01,5,1,5,0.7330063303331968,The last book from this shelf goes 0.7 in/cm into shelf 5
26.0,,,1,6,1,1,131.0,01,6,1,6,0.6662579129165067,The last book from this shelf goes 0.7 in/cm into shelf 6
23.0,x,,1,7,2,1,154.0,01,1,2,6,23.666257912916507,The last book from this shelf goes 23.7 in/cm into shelf 6
25.0,,,1,8,2,1,179.0,01,2,2,7,22.599509495499802,The last book from this shelf goes 22.6 in/cm into shelf 7
25.0,,,1,9,2,1,204.0,01,3,2,8,21.532761078083098,The last book from this shelf goes 21.5 in/cm into shelf 8
26.0,,,1,10,2,1,230.0,01,4,2,9,21.466012660666394,The last book from this shelf goes 21.5 in/cm into shelf 9
23.0,,,1,11,2,1,253.0,01,5,2,10,18.39926424324969,The last book from this shelf goes 18.4 in/cm into shelf 10
23.0,,,1,12,2,1,276.0,01,6,2,11,15.332515825833013,The last book from this shelf goes 15.3 in/cm into shelf 11
24.0,x,,1,13,3,1,300.0,01,1,3,12,13.265767408416309,The last book from this shelf goes 13.3 in/cm into shelf 12
26.0,,,1,14,3,1,326.0,01,2,3,13,13.199018990999605,The last book from this shelf goes 13.2 in/cm into shelf 13
26.0,,,1,15,3,1,352.0,01,3,3,14,13.1322705735829,The last book from this shelf goes 13.1 in/cm into shelf 14
24.0,,,1,16,3,1,376.0,01,4,3,15,11.065522156166196,The last book from this shelf goes 11.1 in/cm into shelf 15
26.0,,,1,17,3,1,402.0,01,5,3,16,10.998773738749492,The last book from this shelf goes 11.0 in/cm into shelf 16
25.0,,,1,18,3,1,427.0,01,6,3,17,9.932025321332787,The last book from this shelf goes 9.9 in/cm into shelf 17
22.0,x,,1,19,4,1,449.0,01,1,4,18,5.865276903916083,The last book from this shelf goes 5.9 in/cm into shelf 18
21.0,,,1,20,4,1,470.0,01,2,4,19,0.7985284864993787,The last book from this shelf goes 0.8 in/cm into shelf 19
25.0,,,1,21,4,1,495.0,01,3,4,19,25.79852848649938,The last book from this shelf goes 25.8 in/cm into shelf 19
24.0,,,1,22,4,1,519.0,01,4,4,20,23.731780069082674,The last book from this shelf goes 23.7 in/cm into shelf 20
26.0,,,1,23,4,1,545.0,01,5,4,21,23.665031651666027,The last book from this shelf goes 23.7 in/cm into shelf 21
9.0,,,1,24,4,1,554.0,01,6,4,22,6.598283234249379,The last book from this shelf goes 6.6 in/cm into shelf 22
1.0,x,,1,25,5,1,555.0,01,1,5,22,7.598283234249379,The last book from this shelf goes 7.6 in/cm into shelf 22
29.0,,,1,26,5,1,584.0,01,2,5,23,10.531534816832732,The last book from this shelf goes 10.5 in/cm into shelf 23
26.0,,,1,27,5,1,610.0,01,3,5,24,10.464786399416084,The last book from this shelf goes 10.5 in/cm into shelf 24
26.0,,,1,28,5,1,636.0,01,4,5,25,10.398037981999437,The last book from this shelf goes 10.4 in/cm into shelf 25
23.0,,,1,29,5,1,659.0,01,5,5,26,7.331289564582789,The last book from this shelf goes 7.3 in/cm into shelf 26
26.0,,,1,30,5,1,685.0,01,6,5,27,7.264541147166142,The last book from this shelf goes 7.3 in/cm into shelf 27
24.0,x,,1,31,6,1,709.0,01,1,6,28,5.197792729749494,The last book from this shelf goes 5.2 in/cm into shelf 28
25.0,,,1,32,6,1,734.0,01,2,6,29,4.131044312332847,The last book from this shelf goes 4.1 in/cm into shelf 29
25.0,,,1,33,6,1,759.0,01,3,6,30,3.0642958949161994,The last book from this shelf goes 3.1 in/cm into shelf 30
25.0,,,1,34,6,1,784.0,01,4,6,31,1.9975474774995519,The last book from this shelf goes 2.0 in/cm into shelf 31
25.0,,,1,35,6,1,809.0,01,5,6,32,0.9307990600829044,The last book from this shelf goes 0.9 in/cm into shelf 32
25.0,,,1,36,6,1,834.0,01,6,6,32,25.930799060082904,The last book from this shelf goes 25.9 in/cm into shelf 32
25.0,x,,1,37,7,1,859.0,01,1,7,33,24.864050642666257,The last book from this shelf goes 24.9 in/cm into shelf 33
25.0,,,1,38,7,1,884.0,01,2,7,34,23.79730222524961,The last book from this shelf goes 23.8 in/cm into shelf 34
25.0,,,1,39,7,1,909.0,01,3,7,35,22.730553807832962,The last book from this shelf goes 22.7 in/cm into shelf 35
26.0,,,1,40,7,1,935.0,01,4,7,36,22.663805390416314,The last book from this shelf goes 22.7 in/cm into shelf 36
24.0,,,1,41,7,1,959.0,01,5,7,37,20.597056972999667,The last book from this shelf goes 20.6 in/cm into shelf 37
27.0,,,1,42,7,1,986.0,01,6,7,38,21.53030855558302,The last book from this shelf goes 21.5 in/cm into shelf 38
24.0,x,,1,43,8,1,1010.0,01,1,8,39,19.463560138166372,The last book from this shelf goes 19.5 in/cm into shelf 39
27.0,,,1,44,8,1,1037.0,01,2,8,40,20.396811720749724,The last book from this shelf goes 20.4 in/cm into shelf 40
25.0,,,1,45,8,1,1062.0,01,3,8,41,19.330063303332963,The last book from this shelf goes 19.3 in/cm into shelf 41
27.0,,,1,46,8,1,1089.0,01,4,8,42,20.263314885916316,The last book from this shelf goes 20.3 in/cm into shelf 42
