measure,sctn_increment,call_num,col_num
24,x,Q1 .H68 1975,1
21,,,1
25,,,1
27,,,1
8,,,1
26,,,1
23,x,,1
25,,,1
25,,,1
26,,,1
23,,,1
23,,,1
24,x,,1
26,,,1
26,,,1
24,,,1
26,,,1
25,,,1
22,x,,1
21,,,1
25,,,1
24,,,1
26,,,1
9,,,1
1,x,,1
29,,,1
26,,,1
26,,,1
23,,,1
26,,,1
24,x,,1
25,,,1
25,,,1
25,,,1
25,,,1
25,,,1
25,x,,1
25,,,1
25,,,1
26,,,1
24,,,1
27,,,1
24,x,,1
27,,,1
25,,,1
27,,,1
28,,,1
24,,,1
22,x,Q141 .A47 1960 Vol. 1,1
8,,,1
0,,,1
0,,,1
19,,,1
24,,,1
24,x,,1
24,,,1
26,,,1
25,,,1
24,,,1
26,,,1
26,x,,1
25,,,1
25,,,1
27,,,1
13,,,1
21,,,1
24,x,,1
22,,,1
25,,,1
26,,,1
25,,,1
25,,,1
25,x,,1
25,,,1
30,,,1
25,,,1
25,,,1
27,,,1
26,x,,1
25,,,1
26,,,1
24,,,1
28,,,1
29,,,1
21,x,,1
25,,,1
27,,,1
29,,,1
25,,,1
24,,,1
25,x,,1
25,,,1
27,,,1
23,,,1
24,,,1
27,,,1
24,x,Q175.3 .J35 1986,1
28,,,1
26,,,1
28,,,1
25,,,1
28,,,1
23,x,,1
24,,,1
21,,,1
26,,,1
24,,,1
24,,,1
23,x,,1
21,,,1
19,,,1
25,,,1
18,,,1
17,,,1
24,x,,1
24,,,1
21,,,1
23,,,1
17,,,1
24,,,1
26,x,,1
22,,,1
26,,,1
21,,,1
21,,,1
26,,,1
25,x,,1
25,,,1
24,,,1
22,,,1
25,,,1
25,,,1
20,x,,1
19,,,1
18,,,1
18,,,1
15,,,1
20,,,1
22,x,,1
24,,,1
26,,,1
25,,,1
25,,,1
24,,,1
24,x,QA1 .N3 7th,1
26,,,1
26,,,1
23,,,1
26,,,1
26,,,1
25,x,,1
24,,,1
25,,,1
24,,,1
26,,,1
23,,,1
23,x,,1
23,,,1
24,,,1
24,,,1
22,,,1
24,,,1
24,x,,1
25,,,1
25,,,1
23,,,1
22,,,1
20,,,1
24,x,,1
23,,,1
27,,,1
26,,,1
22,,,1
23,,,1
28,x,,1
26,,,1
26,,,1
22,,,1
24,,,1
25,,,1
27,x,,1
19,,,1
20,,,1
22,,,1
15,,,1
25,,,1
18,x,,1
14,,,1
19,,,1
20,,,1
25,,,1
26,,,1
15,x,QA43 .T513,1
21,,,1
17,,,1
16,,,1
12,,,1
18,,,1
11,,,1
21,x,,1
16,,,1
16,,,1
18,,,1
16,,,1
21,,,1
27,,,1
16,x,,1
18,,,1
14,,,1
8,,,1
14,,,1
12,,,1
13,,,1
13,x,,1
16,,,1
12,,,1
15,,,1
17,,,1
13,,,1
14,,,1
14,x,,1
16,,,1
15,,,1
22,,,1
20,,,1
17,,,1
17,,,1
25,x,,1
23,,,1
16,,,1
13,,,1
13,,,1
10,,,1
18,,,1
21,x,,1
10,,,1
16,,,1
19,,,1
16,,,1
13,,,1
19,,,1
22,x,,1
20,,,1
18,,,1
17,,,1
15,,,1
14,,,1
20,,,1
18,x,QA76.64 .K73 2000,1
11,,,1
16,,,1
14,,,1
20,,,1
14,,,1
14,,,1
16,x,,1
18,,,1
9,,,1
13,,,1
21,,,1
15,,,1
14,,,1
19,x,,1
16,,,1
13,,,1
9,,,1
14,,,1
16,,,1
12,,,1
18,x,,1
13,,,1
12,,,1
23,,,1
19,,,1
16,,,1
15,,,1
10,x,,1
12,,,1
23,,,1
11,,,1
11,,,1
16,,,1
16,,,1
21,x,,1
18,,,1
15,,,1
19,,,1
20,,,1
16,,,1
13,,,1
21,x,,1
17,,,1
18,,,1
20,,,1
22,,,1
12,,,1
16,,,1
12,x,,1
12,,,1
15,,,1
13,,,1
15,,,1
12,,,1
15,,,1
21,x,QA76.76 .A65 S96 2007 Vol. 1,1
17,,,1
22,,,1
24,,,1
25,,,1
17,,,1
17,,,1
12,x,,1
15,,,1
19,,,1
15,,,1
12,,,1
16,,,1
11,,,1
20,x,,1
18,,,1
17,,,1
18,,,1
19,,,1
23,,,1
16,,,1
19,x,,1
20,,,1
12,,,1
12,,,1
11,,,1
13,,,1
7,,,1
9,x,,1
14,,,1
5,,,1
8,,,1
14,,,1
11,,,1
13,,,1
15,x,,1
21,,,1
10,,,1
9,,,1
12,,,1
6,,,1
7,,,1
8,x,,1
16,,,1
10,,,1
11,,,1
8,,,1
16,,,1
8,,,1
12,x,,1
9,,,1
17,,,1
10,,,1
20,,,1
23,,,1
24,,,1
26,x,QA76.87 .R58 1992,1
25,,,1
24,,,1
21,,,1
20,,,1
23,,,1
18,,,1
16,x,,1
21,,,1
24,,,1
14,,,1
18,,,1
15,,,1
17,,,1
11,x,,1
16,,,1
16,,,1
16,,,1
21,,,1
23,,,1
26,,,1
23,x,,1
13,,,1
10,,,1
11,,,1
11,,,1
19,,,1
11,,,1
21,x,,1
11,,,1
13,,,1
11,,,1
10,,,1
14,,,1
13,,,1
20,x,,1
25,,,1
22,,,1
11,,,1
23,,,1
16,,,1
15,,,1
12,x,,1
11,,,1
18,,,1
25,,,1
18,,,1
22,,,1
16,,,1
17,x,,1
25,,,1
23,,,1
15,,,1
15,,,1
14,,,1
12,,,1
13,x,QA76.9 .S88 S29 1994,1
15,,,1
17,,,1
13,,,1
15,,,1
28,,,1
25,,,1
25,x,,1
28,,,1
24,,,1
25,,,1
25,,,1
26,,,1
26,,,1
24,x,,1
31,,,1
25,,,1
29,,,1
31,,,1
26,,,1
31,,,1
27,x,,1
25,,,1
25,,,1
25,,,1
24,,,1
24,,,1
28,,,1
26,x,,1
26,,,1
25,,,1
29,,,1
25,,,1
26,,,1
26,,,1
24,x,,1
25,,,1
25,,,1
25,,,1
24,,,1
24,,,1
26,,,1
27,x,,1
26,,,1
23,,,1
26,,,1
28,,,1
26,,,1
26,,,1
26,x,,1
24,,,1
27,,,1
25,,,1
24,,,1
24,,,1
27,,,1
23,x,QA268 .N54 2009,1
26,,,1
26,,,1
29,,,1
28,,,1
25,,,1
25,,,1
26,x,,1
25,,,1
24,,,1
26,,,1
27,,,1
26,,,1
25,,,1
25,x,,1
25,,,1
24,,,1
27,,,1
28,,,1
26,,,1
26,,,1
25,x,,1
28,,,1
28,,,1
27,,,1
29,,,1
28,,,1
27,,,1
25,x,,1
28,,,1
25,,,1
23,,,1
28,,,1
27,,,1
26,,,1
24,x,,1
25,,,1
28,,,1
25,,,1
27,,,1
28,,,1
26,,,1
27,x,,1
25,,,1
21,,,1
24,,,1
24,,,1
31,,,1
29,,,1
23,x,,1
25,,,1
27,,,1
25,,,1
24,,,1
27,,,1
24,,,1
25,x,QA329.2 .D85 1988 Pt.3,1
26,,,1
27,,,1
26,,,1
24,,,1
26,,,1
27,,,1
24,x,,1
28,,,1
27,,,1
25,,,1
26,,,1
24,,,1
24,,,1
30,x,,1
26,,,1
28,,,1
31,,,1
30,,,1
27,,,1
23,,,1
29,x,,1
25,,,1
25,,,1
24,,,1
27,,,1
26,,,1
28,,,1
22,x,,1
24,,,1
26,,,1
27,,,1
29,,,1
28,,,1
27,,,1
27,x,,1
26,,,1
26,,,1
29,,,1
30,,,1
25,,,1
27,,,1
25,x,,1
28,,,1
28,,,1
25,,,1
27,,,1
32,,,1
25,,,1
25,x,,1
25,,,1
26,,,1
26,,,1
25,,,1
26,,,1
26,,,1
27,x,QA805 .B287,1
26,,,1
26,,,1
26,,,1
27,,,1
26,,,1
26,,,1
27,x,,1
25,,,1
24,,,1
25,,,1
27,,,1
29,,,1
26,,,1
26,x,,1
26,,,1
24,,,1
27,,,1
24,,,1
25,,,1
28,,,1
25,x,,1
27,,,1
25,,,1
29,,,1
29,,,1
27,,,1
26,,,1
28,x,,1
26,,,1
25,,,1
24,,,1
27,,,1
26,,,1
26,,,1
29,x,,1
27,,,1
27,,,1
25,,,1
26,,,1
27,,,1
26,,,1
26,x,,1
26,,,1
25,,,1
26,,,1
25,,,1
26,,,1
27,,,1
25,x,,1
25,,,1
26,,,1
25,,,1
26,,,1
26,,,1
25,,,1
26,x,QB592 .W37x 1975,1
31,,,1
25,,,1
26,,,1
27,,,1
29,,,1
24,,,1
28,x,,1
27,,,1
26,,,1
26,,,1
26,,,1
26,,,1
27,,,1
25,x,,1
26,,,1
26,,,1
26,,,1
25,,,1
27,,,1
26,,,1
25,x,,1
25,,,1
23,,,1
27,,,1
26,,,1
25,,,1
26,,,1
27,x,,1
31,,,1
26,,,1
26,,,1
26,,,1
26,,,1
24,,,1
25,x,,1
25,,,1
26,,,1
26,,,1
26,,,1
27,,,1
25,,,1
25,x,,1
25,,,1
26,,,1
26,,,1
26,,,1
24,,,1
24,,,1
26,x,,1
28,,,1
25,,,1
26,,,1
26,,,1
25,,,1
25,,,1
23,x,QC16 .N7 M6 1934,1
27,,,1
25,,,1
25,,,1
29,,,1
25,,,1
26,,,1
26,x,,1
29,,,1
24,,,1
27,,,1
28,,,1
28,,,1
29,,,1
25,x,,1
35,,,1
24,,,1
31,,,1
25,,,1
29,,,1
28,,,1
25,x,,1
26,,,1
25,,,1
25,,,1
27,,,1
27,,,1
26,,,1
26,x,,1
26,,,1
25,,,1
26,,,1
25,,,1
27,,,1
25,,,1
24,x,,1
26,,,1
25,,,1
26,,,1
25,,,1
26,,,1
26,,,1
27,x,,1
25,,,1
27,,,1
27,,,1
28,,,1
27,,,1
29,,,1
25,x,,1
28,,,1
24,,,1
27,,,1
27,,,1
26,,,1
26,,,1
26,x,QC174.12 .D83 1984,1
29,,,1
27,,,1
24,,,1
29,,,1
26,,,1
25,,,1
26,x,,1
25,,,1
25,,,1
27,,,1
26,,,1
26,,,1
26,,,1
26,x,,1
26,,,1
24,,,1
26,,,1
28,,,1
26,,,1
30,,,1
26,x,,1
25,,,1
26,,,1
27,,,1
28,,,1
26,,,1
27,,,1
27,x,,1
26,,,1
26,,,1
23,,,1
28,,,1
24,,,1
26,,,1
25,x,,1
26,,,1
25,,,1
25,,,1
31,,,1
27,,,1
27,,,1
28,x,,1
31,,,1
27,,,1
26,,,1
27,,,1
26,,,1
26,,,1
25,x,,1
25,,,1
21,,,1
28,,,1
27,,,1
27,,,1
28,,,1
26,x,QC482 .D5 Z48 1995,1
26,,,1
27,,,1
28,,,1
28,,,1
26,,,1
27,,,1
26,x,,1
26,,,1
26,,,1
26,,,1
26,,,1
26,,,1
25,,,1
28,x,,1
27,,,1
25,,,1
26,,,1
26,,,1
26,,,1
25,,,1
26,x,,1
25,,,1
26,,,1
26,,,1
26,,,1
25,,,1
27,,,1
26,x,,1
25,,,1
26,,,1
25,,,1
25,,,1
25,,,1
25,,,1
32,x,,1
25,,,1
26,,,1
26,,,1
26,,,1
26,,,1
26,,,1
28,x,,1
26,,,1
25,,,1
25,,,1
28,,,1
28,,,1
25,,,1
27,x,,1
26,,,1
26,,,1
25,,,1
25,,,1
29,,,1
26,,,1
25,x,QC793.9 .I67x 1993,1
26,,,1
24,,,1
25,,,1
27,,,1
26,,,1
28,,,1
26,x,,1
27,,,1
26,,,1
28,,,1
27,,,1
25,,,1
25,,,1
27,x,,1
26,,,1
27,,,1
32,,,1
27,,,1
19,,,1
30,,,1
27,x,,1
25,,,1
25,,,1
28,,,1
26,,,1
26,,,1
26,,,1
27,x,,1
27,,,1
26,,,1
24,,,1
27,,,1
